_id,ratings.overall,offeringDetails[0].hotel_class,offeringDetails[0].name
65ac46967672c3f8efe4fb83,4,4,Crowne Plaza Times Square Manhattan
65ac46967672c3f8efe4fec4,4,3,Hampton Inn Manhattan Chelsea
65ac46967672c3f8efe50189,3,4.5,W New York - Times Square
65ac46967672c3f8efe507a9,5,3.5,Staybridge Suites Times Square - New York City
65ac46967672c3f8efe5110c,2,4.5,W New York - Times Square
65ac46967672c3f8efe511e0,5,3.5,YOTEL New York at Times Square West
65ac46977672c3f8efe516a5,4,4,Affinia Dumont
65ac46977672c3f8efe51750,3,4,Hotel Chandler
65ac46977672c3f8efe51928,4,4,Affinia Dumont
65ac46977672c3f8efe51c36,5,4.5,W New York - Times Square
65ac46977672c3f8efe51cda,5,5,The St. Regis New York
65ac46977672c3f8efe51ec0,2,4.5,W New York - Times Square
65ac46977672c3f8efe5201b,4,3.5,Hilton Garden Inn Times Square
65ac46977672c3f8efe52063,4,4,The Muse Hotel New York
65ac46977672c3f8efe5208c,4,4.5,W New York - Times Square
65ac46977672c3f8efe520dd,4,4,New York Marriott Marquis
65ac46977672c3f8efe520f2,1,4,The Michelangelo Hotel
65ac46977672c3f8efe520f8,4,4,New York Marriott Marquis
65ac46977672c3f8efe52175,4,4,New York Marriott Marquis
65ac46977672c3f8efe5217b,2,4,The Michelangelo Hotel
65ac46977672c3f8efe5247f,2,4,The Muse Hotel New York
65ac46977672c3f8efe52507,5,5,The St. Regis New York
65ac46977672c3f8efe5254f,5,4.5,The New York Palace Hotel
65ac46977672c3f8efe52c8b,5,5,The St. Regis New York
65ac46977672c3f8efe52cd7,5,4.5,The New York Palace Hotel
65ac46977672c3f8efe52d5c,5,4,The Michelangelo Hotel
65ac46977672c3f8efe52db6,4,3.5,Staybridge Suites Times Square - New York City
65ac46977672c3f8efe52e43,5,3.5,Staybridge Suites Times Square - New York City
65ac46977672c3f8efe52fd5,4,4.5,Omni Berkshire Place
65ac46977672c3f8efe53480,4,4,Affinia Dumont
65ac46977672c3f8efe53724,4,3,The Maritime Hotel
65ac46977672c3f8efe53ab6,4,3.5,Staybridge Suites Times Square - New York City
65ac46987672c3f8efe53da0,1,4,New York Marriott Marquis
65ac46987672c3f8efe54328,5,4,New York Marriott Marquis
65ac46987672c3f8efe54933,5,3.5,Staybridge Suites Times Square - New York City
65ac46987672c3f8efe554b1,4,4.5,Omni Berkshire Place
65ac46987672c3f8efe55884,2,3.5,YOTEL New York at Times Square West
65ac46987672c3f8efe55c22,3,3.5,Hilton Garden Inn Times Square
65ac46987672c3f8efe55df2,5,4.5,The New York Palace Hotel
65ac46997672c3f8efe5639b,5,4,The Jewel Facing Rockefeller Center
65ac46997672c3f8efe5649d,5,4,Hilton Times Square
65ac46997672c3f8efe56570,4,3.5,YOTEL New York at Times Square West
65ac46997672c3f8efe565f6,5,4,Morgans Hotel
65ac46997672c3f8efe5676b,4,3.5,YOTEL New York at Times Square West
65ac46997672c3f8efe56834,4,4,Hilton Times Square
65ac46997672c3f8efe56c77,5,4,The Jewel Facing Rockefeller Center
65ac46997672c3f8efe56fab,4,3,The Hampton Inn Times Square North
65ac46997672c3f8efe57270,5,5,Trump International Hotel and Tower
65ac46997672c3f8efe57489,4,4,Hilton Times Square
65ac46997672c3f8efe574e8,3,3,Hilton Garden Inn New York West 35th
65ac46997672c3f8efe575e4,4,4,Hilton Times Square
65ac46997672c3f8efe57657,5,4.5,The New York Palace Hotel
